site,latitude,longitude,survey
120_REEF,33.73749,-118.39227,pisco
3_PALMS_EAST,33.71810456,-118.3326001,pisco
ABALONE_COVE_KELP_W,33.73922,-118.38789,pisco
ANACAPA_EAST_FISH_CAMP_CEN,34.001583,-119.398067,pisco
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.385783,pisco
ANACAPA_EAST_FISH_CAMP_W,34.003083,-119.404167,pisco
ANACAPA_EAST_ISLE_CEN,34.017667,-119.363683,pisco
ANACAPA_EAST_ISLE_E,34.017033,-119.361133,pisco
ANACAPA_EAST_ISLE_W,34.015867,-119.371733,pisco
ANACAPA_LIGHTHOUSE_REEF_CEN,34.012783,-119.363133,pisco
ANACAPA_LIGHTHOUSE_REEF_E,34.0139,-119.36,pisco
ANACAPA_LIGHTHOUSE_REEF_W,34.010783000000004,-119.3725,pisco
ANACAPA_MIDDLE_ISLE_CEN,34.0100609,-119.3877751,pisco
ANACAPA_MIDDLE_ISLE_E,34.0085,-119.388167,pisco
ANACAPA_MIDDLE_ISLE_W,34.007833,-119.394467,pisco
ANACAPA_WEST_ISLE_CEN,34.016983,-119.432917,pisco
ANACAPA_WEST_ISLE_E,34.016083,-119.421833,pisco
ANACAPA_WEST_ISLE_W,34.017417,-119.438067,pisco
ANDREW_MOLERA_DC,36.276089,-121.873038,pisco
ANDREW_MOLERA_UC,36.277685,-121.875988,pisco
ARROYO_QUEMADO_E,34.466283,-120.116967,pisco
ARROYO_QUEMADO_W,34.46835,-120.125183,pisco
BIG_CREEK_DC,36.069079,-121.605115,pisco
BIG_CREEK_UC,36.069152,-121.60804,pisco
BIXBY,36.368468,-121.907499,pisco
BLUEFISH_DC,36.52381268,-121.945094,pisco
BLUEFISH_UC,36.522225,-121.943542,pisco
BUCHON,35.244079,-120.901098,pisco
BULLITO,34.455433,-120.33205,pisco
BUNKER_POINT,33.72465,-118.35317,pisco
BUTTERFLY_DC,36.537439,-121.93567,pisco
BUTTERFLY_UC,36.539655,-121.936297,pisco
CAMBRIA_DC,35.567893,-121.124319,pisco
CAMBRIA_UC,35.570495,-121.127145,pisco
CANNERY_DC,36.614953,-121.896037,pisco
CANNERY_UC,36.612639,-121.894574,pisco
CAYUCOS_DC,35.434393,-120.947256,pisco
CAYUCOS_UC,35.43415,-120.950473,pisco
COJO_E,34.441287,-120.416793,pisco
COJO_W,34.443204,-120.423326,pisco
COOPER,36.263146,-121.856608,pisco
CROWBAR,35.226163,-120.881427,pisco
CRYSTAL_COVE,33.56275,-117.8377,pisco
CYPRESS_PT_DC,36.579645,-121.982468,pisco
DANA_POINT,33.46668,-117.72419,pisco
ESALEN_DC,36.124409,-121.647987,pisco
ESALEN_UC,36.128113,-121.653046,pisco
ESCONDIDO_W,34.02029,-118.77356,pisco
ESTERO,35.472387,-121.029631,pisco
FALSE_SUR,36.277556,-121.886822,pisco
FLAT_ROCK_N,33.80132468,-118.4074269,pisco
GREEN_PEAK,35.190104,-120.830687,pisco
HARMONY,35.49641,-121.057808,pisco
HAWTHORNE_REEF,33.7470318,-118.4178193,pisco
HEISLER_PARK,33.54039,-117.79189,pisco
HOPKINS_DC,36.623586,-121.904196,pisco
HOPKINS_UC,36.621649,-121.900789,pisco
HORSESHOE_REEF_E,34.38945,-119.544767,pisco
HORSESHOE_REEF_W,34.391733,-119.5577,pisco
IV_REEF_E,34.40295,-119.864517,pisco
IV_REEF_W,34.404733,-119.876283,pisco
JALAMA_N,34.48696,-120.500523,pisco
JALAMA_S,34.480842,-120.494458,pisco
LAGUNA_BEACH,33.53026,-117.78096,pisco
LA_CRUZ_DC,35.710426,-121.324076,pisco
LA_CRUZ_UC,35.713009,-121.325389,pisco
LECHUZA,34.03186,-118.86313,pisco
LEO_CARRILLO,34.04284698,-118.9331549,pisco
LEUCADIA,33.0636,-117.30932,pisco
LITTLE_DUME_W,34.00654,-118.79097,pisco
LITTLE_IRISH_CEN,35.178059,-120.817733,pisco
LITTLE_IRISH_DC,35.175931,-120.812501,pisco
LITTLE_IRISH_UC,35.18421,-120.825084,pisco
LONE_TREE,36.566418,-121.970688,pisco
LONG_POINT_E,33.73595,-118.40122,pisco
LOPEZ_DC,36.022241,-121.581233,pisco
LOPEZ_UC,36.02901,-121.581676,pisco
LOVERS_DC,36.625774,-121.910735,pisco
LOVERS_UC,36.62422,-121.909082,pisco
LUNADA_BAY,33.77105924,-118.4310422,pisco
MACABEE_DC,36.618184,-121.896835,pisco
MACABEE_UC,36.617148,-121.895695,pisco
MALPASO,36.465747,-121.933984,pisco
MILL_CREEK_DC,35.972098,-121.491162,pisco
MILL_CREEK_UC,35.975929,-121.493489,pisco
MONASTERY_DC,36.525415,-121.933322,pisco
MONASTERY_UC,36.525267,-121.930507,pisco
MONTANA_DE_ORO,35.23323,-120.89081,pisco
NAPLES_CEN,34.42185,-119.9515,pisco
NAPLES_E,34.423333,-119.951017,pisco
NAPLES_W,34.424633,-119.955317,pisco
NICHOLAS_CANYON_W,34.03996,-118.92427,pisco
OTTER_PT_DC,36.636484,-121.921162,pisco
OTTER_PT_UC,36.634633,-121.918929,pisco
PALO_COLORADO,36.397717,-121.911431,pisco
PESCADERO_DC,36.559412,-121.955191,pisco
PESCADERO_UC,36.561121,-121.959761,pisco
PINOS,36.640454,-121.928734,pisco
PLASKETT_DC,35.912913,-121.480079,pisco
PLASKETT_UC,35.915871,-121.478733,pisco
POINT_DUME,33.99884,-118.80659,pisco
POINT_FERMIN,33.70732309,-118.3001585,pisco
POINT_VICENTE_W,33.73974,-118.41369,pisco
PURISIMA_N,34.729501,-120.631705,pisco
PURISIMA_S,34.726948,-120.627138,pisco
RESORT_POINT,33.76647796,-118.4274621,pisco
RIDGES_N,33.78848,-118.42323,pisco
RIDGES_S,33.78574831,-118.4258496,pisco
ROCKY_POINT_N,33.78093,-118.42999,pisco
ROCKY_POINT_S,33.77601668,-118.4323053,pisco
SANDHILL_DC,36.97293,-122.149429,pisco
SANDHILL_UC,36.974306,-122.152109,pisco
SAN_MATEO_KELP,33.38399,-117.61091,pisco
SAN_SIMEON_DC,35.631667,-121.190248,pisco
SAN_SIMEON_UC,35.630567,-121.19494,pisco
SBI_CAT_CANYON,33.46442,-119.04408,pisco
SBI_SOUTHEAST_REEF,33.46293,-119.03127,pisco
SBI_SOUTHEAST_SEALION,33.46878,-119.02882,pisco
SBI_SUTIL,33.46585,-119.04821,pisco
SCAI_BIRD_ROCK,33.45217,-118.48767,pisco
SCAI_BLUE_CAVERN,33.44802,-118.47947,pisco
SCAI_CAT_HARBOR,33.42609,-118.51181,pisco
SCAI_CHINA_POINT,33.33032,-118.46975,pisco
SCAI_HEN_ROCK,33.4001,-118.3669,pisco
SCAI_INDIAN_ROCK,33.46887,-118.52617,pisco
SCAI_IRON_BOUND_COVE,33.4475,-118.57515,pisco
SCAI_ITALIAN_GARDENS,33.4177,-118.38832,pisco
SCAI_ITALIAN_GARDENS,33.41026342,-118.378769,pisco
SCAI_RIPPERS_COVE,33.42815,-118.43547,pisco
SCAI_SALTA_VERDE,33.31458,-118.42152,pisco
SCAI_SHIP_ROCK,33.46302,-118.4914,pisco
SCI_CAVERN_POINT_E,34.054283,-119.566867,pisco
SCI_CAVERN_POINT_W,34.05275,-119.5713,pisco
SCI_COCHE_POINT_W,34.04265,-119.604,pisco
SCI_FORNEY_E,34.051483,-119.909667,pisco
SCI_FORNEY_W,34.053883,-119.9182,pisco
SCI_GULL_ISLE_E,33.946467,-119.823183,pisco
SCI_GULL_ISLE_W,33.948167,-119.82795,pisco
SCI_HAZARDS_CEN,34.056583,-119.821167,pisco
SCI_HAZARDS_E,34.054383,-119.81935,pisco
SCI_HAZARDS_W,34.0581,-119.824833,pisco
SCI_PAINTED_CAVE_CEN,34.072867,-119.870983,pisco
SCI_PAINTED_CAVE_E,34.0719,-119.85755,pisco
SCI_PAINTED_CAVE_W,34.074483,-119.882133,pisco
SCI_PELICAN_CEN,34.03065,-119.69665,pisco
SCI_PELICAN_E,34.02805,-119.690917,pisco
SCI_PELICAN_W,34.035867,-119.7023,pisco
SCI_SCORPION_E,34.048467,-119.546367,pisco
SCI_SCORPION_W,34.0525,-119.55525,pisco
SCI_VALLEY_CEN,33.983617,-119.6384,pisco
SCI_VALLEY_E,33.98355,-119.620317,pisco
SCI_VALLEY_W,33.9817,-119.6637,pisco
SCI_YELLOWBANKS_CEN,33.988533,-119.546983,pisco
SCI_YELLOWBANKS_W,33.9893,-119.564933,pisco
SIREN,36.630733,-121.91859,pisco
SMI_CROOK_POINT_E,34.015867,-120.3305,pisco
SMI_CROOK_POINT_W,34.01385,-120.337333,pisco
SMI_CUYLER_E,34.051717,-120.346183,pisco
SMI_CUYLER_W,34.05705,-120.3526,pisco
SMI_HARRIS_PT_RESERVE_E,34.052783,-120.337383,pisco
SMI_HARRIS_PT_RESERVE_W,34.063683,-120.355983,pisco
SMI_TYLER_BIGHT_E,34.025467,-120.4067,pisco
SMI_TYLER_BIGHT_W,34.027292,-120.411744,pisco
SOBERANES,36.445343,-121.929144,pisco
SOUTH_WRECK_DC,36.223864,-121.787408,pisco
SOUTH_WRECK_UC,36.225295,-121.790545,pisco
SRI_CLUSTER_POINT_N,33.931667,-120.197417,pisco
SRI_CLUSTER_POINT_S,33.923833,-120.192,pisco
SRI_JOHNSONS_LEE_SOUTH_E,33.897433,-120.100383,pisco
SRI_JOHNSONS_LEE_SOUTH_W,33.895133,-120.104317,pisco
SRI_SOUTH_POINT_E,33.891567,-120.1192,pisco
SRI_SOUTH_POINT_W,33.894167,-120.124883,pisco
STILLWATER_DC,36.559729,-121.944014,pisco
STILLWATER_UC,36.560116,-121.94732,pisco
SWAMIS,33.03574,-117.30134,pisco
SWAMIS,33.0182506,-117.2887824,pisco
TENERA,35.238631,-120.895481,pisco
TERRACE_DC,36.944871,-122.064289,pisco
TERRACE_UC,36.944908,-122.066281,pisco
UNDERWATER_ARCH,33.75146441,-118.4171149,pisco
WESTON_DC,36.510347,-121.945786,pisco
WESTON_UC,36.512613,-121.948765,pisco
WHITES_POINT,33.71587645,-118.3253193,pisco
WHITE_ROCK_DC,35.525649,-121.084627,pisco
WHITE_ROCK_UC,35.5271,-121.089899,pisco
Big Creek,36.068272,-121.601619,reef_check
Crystal Cove,33.564894,-117.834988,reef_check
Divers Cove,33.543393,-117.796384,reef_check
Heisler Park,33.542039,-117.792745,reef_check
Little Corona Del Mar,33.587859,-117.869271,reef_check
Salt Creek,33.47715,-117.727364,reef_check
Seal Rock,33.545227,-117.80439200000001,reef_check
Shaws Cove,33.543961,-117.799858,reef_check
